Rk,G,Date,W_E,Opp,W_L,Tm,Opp_pts,FG_LA,FGA_LA,FGpc_LA,3P_LA,3PA_LA,3Ppc_LA,FT_LA,FTA_LA,FTpc_LA,ORB_LA,TRB_LA,AST_LA,STL_LA,BLK_LA,TOV_LA,PF_LA,FG,FGA,FGpc,3P,3PA,3Ppc,FT,FTA,FTpc,ORB,TRB,AST,STL,BLK,TOV,PF
55,55,2020-02-23,E,BOS,W,114,112,39,86,0.453,11,34,0.324,25,37,0.676,11,46,20,9,4,13,22,38,83,0.458,13,34,0.382,23,30,0.767,8,44,20,7,3,17,29
56,56,2020-02-25,W,NOP,W,118,109,45,102,0.441,13,44,0.295,15,21,0.714,14,51,27,10,12,16,20,39,86,0.453,8,27,0.296,23,30,0.767,6,45,31,10,2,20,24
57,57,2020-02-27,W,GSW,W,116,86,45,88,0.511,8,24,0.333,18,27,0.667,8,44,24,13,5,16,17,34,80,0.425,9,32,0.281,9,10,0.9,5,37,27,7,3,26,27
58,58,2020-02-29,W,MEM,L,88,105,36,87,0.414,9,35,0.257,7,12,0.583,13,45,26,5,3,14,13,43,95,0.453,10,31,0.323,9,11,0.818,15,51,27,10,4,7,14
59,59,2020-03-01,W,NOP,W,122,114,50,97,0.515,13,35,0.371,9,10,0.9,6,36,23,9,10,13,26,40,95,0.421,7,32,0.219,27,33,0.818,15,52,24,7,3,16,11
60,60,2020-03-03,E,PHI,W,120,107,46,86,0.535,13,33,0.394,15,18,0.833,10,43,25,9,6,13,18,38,85,0.447,16,40,0.4,15,20,0.75,12,42,24,10,1,15,17
61,61,2020-03-06,E,MIL,W,113,103,38,91,0.418,6,32,0.188,31,38,0.816,10,52,19,11,4,16,27,37,89,0.416,12,43,0.279,17,23,0.739,5,45,22,8,1,19,32
62,62,2020-03-08,W,LAC,W,112,103,39,87,0.448,10,35,0.286,24,28,0.857,9,45,22,8,7,12,28,34,86,0.395,7,31,0.226,28,37,0.757,15,49,12,5,5,15,26
63,63,2020-03-10,E,BRK,L,102,104,40,87,0.46,15,40,0.375,7,12,0.583,8,46,24,7,4,14,22,37,90,0.411,13,40,0.325,17,23,0.739,14,47,24,7,3,10,18
64,64,2020-07-30,W,LAC,W,103,101,32,82,0.39,11,36,0.306,28,37,0.757,11,45,21,6,3,16,27,32,74,0.432,16,36,0.444,21,28,0.75,4,36,17,6,5,20,30
65,65,2020-08-01,E,TOR,L,92,107,29,82,0.354,10,40,0.25,24,33,0.727,8,40,17,8,12,17,25,35,84,0.417,14,34,0.412,23,26,0.885,7,51,24,7,5,14,28
66,66,2020-08-03,W,UTA,W,116,108,41,82,0.5,9,26,0.346,25,31,0.806,4,38,23,12,3,14,24,37,83,0.446,12,43,0.279,22,25,0.88,7,42,25,8,3,21,29
67,67,2020-08-05,W,OKC,L,86,105,31,88,0.352,5,37,0.135,19,29,0.655,10,46,17,7,3,11,24,34,79,0.43,5,24,0.208,32,36,0.889,4,52,17,9,2,13,23
68,68,2020-08-06,W,HOU,L,97,113,35,77,0.455,2,19,0.105,25,36,0.694,12,48,18,11,6,24,20,36,84,0.429,21,57,0.368,20,23,0.87,4,34,26,11,5,19,28
69,69,2020-08-08,E,IND,L,111,116,42,100,0.42,13,39,0.333,14,19,0.737,15,44,20,13,6,15,16,44,84,0.524,15,33,0.455,13,14,0.929,7,42,25,12,4,20,21
70,70,2020-08-10,W,DEN,W,124,121,44,81,0.543,14,29,0.483,22,32,0.688,14,32,28,8,4,10,18,45,77,0.584,13,23,0.565,18,23,0.783,10,35,27,6,2,14,20
71,71,2020-08-13,W,SAC,L,122,136,48,98,0.49,15,35,0.429,11,15,0.733,15,47,29,6,1,17,18,54,95,0.568,21,47,0.447,7,12,0.583,9,44,37,12,2,14,15
1,1,2020-08-18,W,POR,L,93,100,34,97,0.351,5,32,0.156,20,31,0.645,17,55,22,11,4,9,23,31,79,0.392,13,34,0.382,25,33,0.758,5,50,18,3,8,16,28
2,2,2020-08-20,W,POR,W,111,88,44,92,0.478,14,38,0.368,9,10,0.9,14,50,26,9,3,14,22,34,85,0.4,8,29,0.276,12,16,0.75,10,41,14,6,3,17,17
3,3,2020-08-22,W,POR,W,116,108,39,78,0.5,10,30,0.333,28,43,0.651,12,55,26,6,8,17,21,39,95,0.411,12,35,0.343,18,19,0.947,7,38,17,7,4,11,25
4,4,2020-08-24,W,POR,W,135,115,49,87,0.563,17,39,0.436,20,30,0.667,12,41,29,7,9,14,28,40,89,0.449,12,28,0.429,23,31,0.742,17,42,20,9,2,17,27
5,5,2020-08-29,W,POR,W,131,122,48,88,0.545,14,36,0.389,21,26,0.808,7,41,27,11,5,17,20,44,93,0.473,13,27,0.481,21,26,0.808,10,43,20,12,1,19,28
6,6,2020-09-04,W,HOU,L,97,112,35,83,0.422,11,38,0.289,16,19,0.842,10,41,18,8,9,15,20,39,81,0.481,14,39,0.359,20,27,0.741,4,41,19,13,3,14,19
7,7,2020-09-06,W,HOU,W,117,109,47,83,0.566,12,27,0.444,11,18,0.611,9,41,30,11,5,15,17,35,78,0.449,22,53,0.415,17,23,0.739,8,35,22,7,2,17,21
8,8,2020-09-08,W,HOU,W,112,102,43,78,0.551,10,30,0.333,16,23,0.696,9,43,25,6,6,13,15,38,81,0.469,12,30,0.4,14,14,1,6,30,23,8,1,9,18
9,9,2020-09-10,W,HOU,W,110,100,43,88,0.489,9,30,0.3,15,16,0.938,12,52,30,9,4,16,27,28,65,0.431,14,33,0.424,30,39,0.769,1,26,24,10,6,16,21
10,10,2020-09-12,W,HOU,W,119,96,39,74,0.527,19,37,0.514,22,29,0.759,6,50,25,5,7,19,24,33,89,0.371,13,49,0.265,17,24,0.708,9,31,18,6,3,12,26
11,11,2020-09-18,W,DEN,W,126,114,44,83,0.53,11,26,0.423,27,37,0.73,10,34,33,10,6,11,28,41,83,0.494,9,26,0.346,23,28,0.821,9,37,23,3,2,16,26
12,12,2020-09-20,W,DEN,W,105,103,37,83,0.446,13,36,0.361,18,19,0.947,13,44,23,9,7,23,30,35,74,0.473,8,24,0.333,25,33,0.758,7,31,22,12,4,19,22
13,13,2020-09-22,W,DEN,L,106,114,43,83,0.518,6,26,0.231,14,22,0.636,4,25,27,11,3,16,26,40,73,0.548,11,29,0.379,23,29,0.793,9,44,26,8,2,18,21
14,14,2020-09-24,W,DEN,W,114,108,38,80,0.475,10,30,0.333,28,35,0.8,12,41,23,9,2,9,25,39,77,0.506,10,28,0.357,20,23,0.87,6,33,22,4,3,11,28
15,15,2020-09-26,W,DEN,W,117,107,42,77,0.545,9,24,0.375,24,29,0.828,5,43,24,6,8,13,26,38,90,0.422,8,30,0.267,23,26,0.885,9,36,23,5,2,11,25
16,16,2020-09-30,E,MIA,W,116,98,38,84,0.452,15,38,0.395,25,27,0.926,9,54,26,7,8,12,19,38,89,0.427,11,35,0.314,11,14,0.786,5,36,23,4,5,8,15
17,17,2020-10-02,E,MIA,W,124,114,49,97,0.505,16,47,0.34,10,17,0.588,16,44,32,6,3,9,26,36,71,0.507,11,27,0.407,31,34,0.912,6,37,29,2,1,9,23
18,18,2020-10-04,E,MIA,L,104,115,34,79,0.43,14,42,0.333,22,29,0.759,11,43,23,8,2,19,22,41,80,0.513,12,34,0.353,21,23,0.913,3,37,25,8,3,12,23
19,19,2020-10-06,E,MIA,W,102,96,35,79,0.443,14,39,0.359,18,21,0.857,10,42,25,5,4,15,14,32,75,0.427,11,32,0.344,21,26,0.808,7,39,18,8,3,11,21
20,20,2020-10-09,E,MIA,L,108,111,38,82,0.463,14,38,0.368,18,21,0.857,12,41,21,10,5,15,21,38,83,0.458,14,33,0.424,21,22,0.955,9,35,26,7,3,13,19
21,21,2020-10-11,E,MIA,W,106,93,43,89,0.483,11,35,0.314,9,14,0.643,12,46,23,5,4,12,22,35,79,0.443,10,28,0.357,13,22,0.591,9,41,25,4,4,13,18
